Id,Original_Value,Predicted_value
147.0,4.0,4.0
148.0,4.0,5.0
149.0,3.0,3.0
150.0,3.0,1.0
151.0,4.0,5.0
152.0,5.0,5.0
153.0,4.0,4.0
154.0,4.0,4.0
155.0,5.0,5.0
156.0,4.0,3.0
157.0,5.0,4.0
158.0,4.0,3.0
159.0,4.0,5.0
160.0,5.0,5.0
161.0,4.0,4.0
162.0,4.0,4.0
163.0,4.0,5.0
164.0,2.0,3.0
165.0,1.0,1.0
166.0,4.0,5.0
167.0,4.0,4.0
168.0,2.0,3.0
169.0,4.0,4.0
170.0,1.0,1.0
171.0,4.0,4.0
172.0,4.0,5.0
173.0,2.0,3.0
174.0,4.0,4.0
175.0,4.0,4.0
176.0,4.0,3.0
177.0,4.0,5.0
178.0,4.0,4.0
179.0,3.0,4.0
180.0,5.0,4.0
181.0,4.0,4.0
182.0,4.0,5.0
183.0,4.0,5.0
184.0,5.0,5.0
185.0,4.0,4.0
186.0,5.0,5.0
187.0,4.0,5.0
188.0,2.0,5.0
189.0,4.0,4.0
190.0,5.0,3.0
191.0,5.0,4.0
192.0,5.0,5.0
193.0,5.0,5.0
194.0,2.0,3.0
195.0,2.0,1.0
196.0,5.0,5.0
197.0,2.0,4.0
198.0,4.0,4.0
199.0,1.0,4.0
200.0,2.0,3.0
201.0,4.0,5.0
202.0,2.0,3.0
203.0,4.0,5.0
204.0,4.0,4.0
205.0,4.0,3.0
206.0,3.0,5.0
207.0,5.0,5.0
208.0,5.0,5.0
209.0,4.0,5.0
210.0,4.0,4.0
211.0,3.0,3.0
212.0,3.0,5.0
213.0,2.0,3.0
214.0,5.0,5.0
215.0,1.0,3.0
216.0,1.0,3.0
217.0,2.0,3.0
218.0,4.0,5.0
219.0,1.0,3.0
220.0,2.0,3.0
221.0,2.0,3.0
222.0,4.0,4.0
223.0,4.0,3.0
224.0,3.0,3.0
225.0,5.0,5.0
226.0,3.0,3.0
227.0,2.0,3.0
228.0,1.0,1.0
229.0,4.0,4.0
230.0,4.0,3.0
231.0,3.0,3.0
232.0,3.0,3.0
233.0,2.0,1.0
234.0,5.0,5.0
235.0,1.0,1.0
236.0,1.0,1.0
237.0,3.0,3.0
238.0,1.0,1.0
239.0,3.0,3.0
240.0,3.0,4.0
241.0,3.0,3.0
242.0,2.0,3.0
243.0,2.0,4.0
244.0,2.0,3.0
245.0,3.0,5.0
246.0,1.0,3.0
247.0,4.0,5.0
248.0,4.0,5.0
249.0,4.0,4.0
250.0,2.0,3.0
251.0,3.0,4.0
252.0,1.0,1.0
253.0,5.0,5.0
254.0,4.0,3.0
255.0,5.0,4.0
256.0,3.0,3.0
257.0,3.0,5.0
258.0,2.0,3.0
259.0,2.0,1.0
260.0,4.0,5.0
261.0,1.0,1.0
262.0,3.0,5.0
263.0,3.0,3.0
264.0,5.0,5.0
265.0,4.0,3.0
266.0,4.0,5.0
267.0,3.0,3.0
268.0,1.0,3.0
269.0,4.0,3.0
270.0,3.0,4.0
271.0,4.0,5.0
272.0,1.0,3.0
273.0,1.0,3.0
274.0,3.0,3.0
275.0,5.0,5.0
276.0,5.0,5.0
277.0,4.0,5.0
278.0,1.0,1.0
279.0,5.0,5.0
280.0,4.0,5.0
281.0,5.0,5.0
282.0,5.0,5.0
283.0,3.0,3.0
284.0,5.0,5.0
285.0,4.0,5.0
286.0,1.0,3.0
287.0,4.0,5.0
288.0,3.0,4.0
289.0,4.0,4.0
290.0,4.0,5.0
291.0,1.0,1.0
292.0,5.0,3.0
293.0,4.0,4.0
294.0,3.0,3.0
295.0,5.0,5.0
296.0,4.0,4.0
297.0,5.0,5.0
298.0,5.0,5.0
299.0,3.0,3.0
300.0,4.0,5.0
301.0,3.0,3.0
302.0,4.0,4.0
303.0,5.0,5.0
304.0,4.0,5.0
305.0,3.0,3.0
306.0,3.0,3.0
307.0,5.0,5.0
308.0,4.0,3.0
309.0,5.0,4.0
310.0,5.0,5.0
311.0,5.0,5.0
312.0,3.0,3.0
313.0,3.0,4.0
314.0,3.0,3.0
315.0,2.0,1.0
316.0,4.0,5.0
317.0,2.0,3.0
318.0,4.0,5.0
319.0,1.0,3.0
320.0,4.0,3.0
321.0,5.0,5.0
322.0,5.0,5.0
323.0,2.0,3.0
324.0,3.0,3.0
325.0,5.0,5.0
326.0,1.0,1.0
327.0,4.0,3.0
328.0,5.0,5.0
329.0,4.0,4.0
330.0,4.0,4.0
331.0,4.0,5.0
332.0,4.0,5.0
333.0,1.0,1.0
334.0,4.0,4.0
335.0,2.0,1.0
336.0,4.0,5.0
337.0,5.0,3.0
338.0,4.0,5.0
339.0,2.0,1.0
340.0,4.0,4.0
341.0,3.0,3.0
342.0,3.0,3.0
343.0,4.0,4.0
344.0,4.0,5.0
345.0,4.0,5.0
346.0,2.0,3.0
347.0,3.0,3.0
348.0,3.0,3.0
349.0,1.0,1.0
350.0,4.0,5.0
351.0,4.0,5.0
352.0,2.0,3.0
353.0,3.0,3.0
354.0,5.0,4.0
355.0,2.0,3.0
356.0,3.0,3.0
357.0,2.0,1.0
358.0,2.0,1.0
359.0,1.0,3.0
360.0,5.0,5.0
361.0,4.0,5.0
362.0,1.0,1.0
363.0,1.0,1.0
364.0,3.0,3.0
365.0,4.0,4.0
366.0,2.0,4.0
367.0,1.0,3.0
368.0,4.0,5.0
369.0,4.0,3.0
370.0,5.0,5.0
371.0,2.0,3.0
372.0,5.0,4.0
373.0,4.0,4.0
374.0,5.0,5.0
375.0,5.0,5.0
376.0,3.0,3.0
377.0,4.0,3.0
378.0,4.0,5.0
379.0,3.0,4.0
380.0,3.0,3.0
381.0,5.0,5.0
382.0,1.0,3.0
383.0,2.0,1.0
384.0,5.0,5.0
385.0,4.0,5.0
386.0,3.0,3.0
387.0,4.0,5.0
388.0,4.0,5.0
389.0,5.0,5.0
390.0,4.0,3.0
391.0,4.0,4.0
392.0,4.0,3.0
393.0,5.0,5.0
394.0,4.0,3.0
395.0,5.0,3.0
396.0,4.0,5.0
397.0,5.0,3.0
398.0,5.0,5.0
399.0,4.0,5.0
